ID,Country,Population,2020/2/10,2020/2/11,2020/2/12,2020/2/13,2020/2/14,2020/2/15,2020/2/16,2020/2/17,2020/2/18,2020/2/19,2020/2/20,2020/2/21,2020/2/22,2020/2/23,2020/2/24,2020/2/25,2020/2/26,2020/2/27,2020/2/28,2020/2/29,2020/3/1,2020/3/2,2020/3/3,2020/3/4,2020/3/5,2020/3/6,2020/3/7
74,Sri Lanka,21323733,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
75,Slovakia,5457013,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
76,Latvia,1906743,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,Cambodia,16486542,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,Peru,32510453,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
79,Gibraltar,33701,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
80,Costa Rica,5047561,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
81,Bhutan,763092,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
82,Armenia,2957731,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
83,Cameroon,25876380,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
84,Colombia,50339443,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
85,Afghanistan,38041754,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
86,Faroe Islands,48678,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
87,Serbia,8772235,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
88,Brunei,433285,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
89,Seychelles,97739,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
90,Bermuda,62506,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
91,Sierra Leone,7813215,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
92,Bulgaria,7000119,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
93,Solomon Islands,669823,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
94,Bolivia,11513100,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
95,Burundi,10864245,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
96,Botswana,2303697,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
97,Samoa,197097,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
98,Bosnia And Herzegovina,100000,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
99,Somalia,15442905,0,,,,,,,,,,,,,,,,,,,,,,,,,,0
